"ID","TIME","RPM","TORQUE","POWER","PEAK_PEAK_PFS"
"302","2023-10-27 02:37:23","0","0","0","0"
"303","2023-10-27 02:42:23","0","0","0","0"
"304","2023-10-27 02:47:23","0","0","0","0"
"305","2023-10-27 02:52:23","0","0","0","0"
"306","2023-10-27 02:57:23","0","0","0","0"
"307","2023-10-27 03:02:23","0","0","0","0"
"308","2023-10-27 03:07:23","0","0","0","0"
"309","2023-10-27 03:12:23","0","0","0","0"
"310","2023-10-27 03:17:23","0","0","0","0"
"311","2023-10-27 03:22:23","0","0","0","0"
"312","2023-10-27 03:27:23","0","0","0","0"
"313","2023-10-27 03:32:23","0","0","0","0"
"314","2023-10-27 03:37:23","0","0","0","0"
"315","2023-10-27 03:42:23","0","0","0","0"
"316","2023-10-27 03:47:23","0","0","0","0"
"317","2023-10-27 03:52:23","0","0","0","0"
"318","2023-10-27 03:57:23","0","0","0","0"
"319","2023-10-27 04:02:23","0","0","0","0"
"320","2023-10-27 04:07:23","0","0","0","0"
"321","2023-10-27 04:12:23","0","0","0","0"
"322","2023-10-27 04:17:23","0","0","0","0"
"323","2023-10-27 04:22:23","0","0","0","0"
"324","2023-10-27 04:27:23","0","0","0","0"
"325","2023-10-27 04:32:23","0","0","0","0"
"326","2023-10-27 04:37:23","0","0","0","0"
"327","2023-10-27 04:42:23","0","0","0","0"
"328","2023-10-27 04:47:23","0","0","0","0"
"329","2023-10-27 04:52:23","0","0","0","0"
"330","2023-10-27 04:57:23","0","0","0","0"
"331","2023-10-27 05:02:23","0","0","0","0"
"332","2023-10-27 05:07:23","0","0","0","0"
"333","2023-10-27 05:12:23","0","0","0","0"
"334","2023-10-27 05:17:23","0","0","0","0"
"335","2023-10-27 05:22:23","0","0","0","0"
"336","2023-10-27 05:27:23","0","0","0","0"
"337","2023-10-27 05:32:23","0","0","0","0"
"338","2023-10-27 05:37:23","0","0","0","0"
"339","2023-10-27 05:42:23","0","0","0","0"
"340","2023-10-27 05:47:23","0","0","0","0"
"341","2023-10-27 05:52:23","0","0","0","0"
"342","2023-10-27 05:57:23","0","0","0","0"
"343","2023-10-27 06:02:23","0","0","0","0"
"344","2023-10-27 06:07:23","0","0","0","0"
"345","2023-10-27 06:12:23","0","0","0","0"
"346","2023-10-27 06:17:23","0","0","0","0"
"347","2023-10-27 06:22:23","0","0","0","0"
"348","2023-10-27 06:27:23","0","0","0","0"
"349","2023-10-27 06:32:23","0","0","0","0"
"350","2023-10-27 06:37:23","0","0","0","0"
"351","2023-10-27 06:42:23","0","0","0","0"
"352","2023-10-27 06:47:23","0","0","0","0"
"353","2023-10-27 06:52:23","0","0","0","0"
"354","2023-10-27 06:57:23","0","0","0","0"
"355","2023-10-27 07:02:23","0","0","0","0"
"356","2023-10-27 07:07:23","0","0","0","0"
"357","2023-10-27 07:12:23","0","0","0","0"
"358","2023-10-27 07:17:23","0","0","0","0"
"359","2023-10-27 07:22:23","0","0","0","0"
"360","2023-10-27 07:27:23","0","0","0","0"
"361","2023-10-27 07:32:23","0","0","0","0"
"362","2023-10-27 07:37:23","0","0","0","0"
"363","2023-10-27 07:42:23","0","0","0","0"
"364","2023-10-27 07:47:23","0","0","0","0"
"365","2023-10-27 07:52:23","0","0","0","0"
"366","2023-10-27 07:57:23","0","0","0","0"
"367","2023-10-27 08:02:23","0","0","0","0"
"368","2023-10-27 08:07:23","0","0","0","0"
"369","2023-10-27 08:12:23","0","0","0","0"
"370","2023-10-27 08:17:23","0","0","0","0"
"371","2023-10-27 08:22:23","0","0","0","0"
"372","2023-10-27 08:27:23","0","0","0","0"
"373","2023-10-27 08:32:23","0","0","0","0"
"374","2023-10-27 08:37:23","0","0","0","0"
"375","2023-10-27 08:42:23","0","0","0","0"
"376","2023-10-27 08:47:23","0","0","0","0"
"377","2023-10-27 08:52:23","0","0","0","0"
"378","2023-10-27 08:57:23","0","0","0","0"
"379","2023-10-27 09:02:23","0","0","0","0"
"380","2023-10-27 09:07:23","0","0","0","0"
"381","2023-10-27 09:12:23","0","0","0","0"
"382","2023-10-27 09:17:23","0","0","0","0"
"383","2023-10-27 09:22:23","0","0","0","0"
"384","2023-10-27 09:27:23","0","0","0","0"
"385","2023-10-27 09:32:23","0","0","0","0"
"386","2023-10-27 09:37:23","0","0","0","0"
"387","2023-10-27 09:42:23","0","0","0","0"
"388","2023-10-27 09:47:23","0","0","0","0"
"389","2023-10-27 09:52:23","0","0","0","0"
"390","2023-10-27 09:57:23","0","0","0","0"
"391","2023-10-27 10:02:23","0","0","0","0"
"392","2023-10-27 10:07:23","0","0","0","0"
"393","2023-10-27 10:12:23","0","0","0","0"
"394","2023-10-27 10:17:23","0","0","0","0"
"395","2023-10-27 10:22:23","0","0","0","0"
"396","2023-10-27 10:27:23","0","0","0","0"
"397","2023-10-27 10:32:23","0","0","0","0"
"398","2023-10-27 10:37:23","0","0","0","0"
"399","2023-10-27 10:42:23","0","0","0","0"
"400","2023-10-27 10:47:23","0","0","0","0"
"401","2023-10-27 10:52:23","0","0","0","0"
"402","2023-10-27 10:57:23","0","0","0","0"
"403","2023-10-27 11:02:23","0","0","0","0"
"404","2023-10-27 11:07:23","0","0","0","0"
"405","2023-10-27 11:12:23","0","0","0","0"
"406","2023-10-27 11:17:23","0","0","0","0"
"407","2023-10-27 11:22:23","0","0","0","0"
"408","2023-10-27 11:27:23","0","0","0","0"
"409","2023-10-27 11:32:23","0","0","0","0"
"410","2023-10-27 11:37:23","0","0","0","0"
"411","2023-10-27 11:42:23","0","0","0","0"
"412","2023-10-27 11:47:23","0","0","0","0"
"413","2023-10-27 11:52:23","0","0","0","0"
"414","2023-10-27 11:57:23","0","0","0","0"
"415","2023-10-27 12:02:23","0","0","0","0"
"416","2023-10-27 12:07:23","0","0","0","0"
"417","2023-10-27 12:12:23","0","0","0","0"
"418","2023-10-27 12:17:23","0","0","0","0"
"419","2023-10-27 12:22:23","0","0","0","0"
"420","2023-10-27 12:27:23","0","0","0","0"
"421","2023-10-27 12:32:23","0","0","0","0"
"422","2023-10-27 12:37:23","0","0","0","0"
"423","2023-10-27 12:42:23","0","0","0","0"
"424","2023-10-27 12:47:23","0","0","0","0"
"425","2023-10-27 12:52:23","0","0","0","0"
"426","2023-10-27 12:57:23","0","0","0","0"
"427","2023-10-27 13:02:23","0","0","0","0"
"428","2023-10-27 13:07:23","0","0","0","0"
"429","2023-10-27 13:12:23","0","0","0","0"
"430","2023-10-27 13:17:23","0","0","0","0"
"431","2023-10-27 13:22:23","0","0","0","0"
"432","2023-10-27 13:27:23","0","0","0","0"
"433","2023-10-27 13:32:23","0","0","0","0"
"434","2023-10-27 13:37:23","0","0","0","0"
"435","2023-10-27 13:42:23","0","0","0","0"
"436","2023-10-27 13:47:23","0","0","0","0"
"437","2023-10-27 13:52:23","0","0","0","0"
"438","2023-10-27 13:57:23","0","0","0","0"
"439","2023-10-27 14:02:23","0","0","0","0"
"440","2023-10-27 14:07:23","0","0","0","0"
"441","2023-10-27 14:12:23","0","0","0","0"
"442","2023-10-27 14:17:23","0","0","0","0"
"443","2023-10-27 14:22:23","0","0","0","0"
"444","2023-10-27 14:27:23","0","0","0","0"
"445","2023-10-27 14:32:23","0","0","0","0"
"446","2023-10-27 14:37:23","0","0","0","0"
"447","2023-10-27 14:42:23","0","0","0","0"
"448","2023-10-27 14:47:23","0","0","0","0"
"449","2023-10-27 14:52:23","0","0","0","0"
"450","2023-10-27 14:57:23","0","0","0","0"
"451","2023-10-27 15:02:23","0","0","0","0"
"452","2023-10-27 15:07:23","0","0","0","0"
"453","2023-10-27 15:12:23","0","0","0","0"
"454","2023-10-27 15:17:23","0","0","0","0"
"455","2023-10-27 15:22:23","0","0","0","0"
"456","2023-10-27 15:27:23","0","0","0","0"
"457","2023-10-27 15:32:23","0","0","0","0"
"458","2023-10-27 15:37:23","0","0","0","0"
"459","2023-10-27 15:42:23","0","0","0","0"
"460","2023-10-27 15:47:23","0","0","0","0"
"461","2023-10-27 15:52:23","0","0","0","0"
"462","2023-10-27 15:57:23","0","0","0","0"
"463","2023-10-27 16:02:23","0","0","0","0"
"464","2023-10-27 16:07:23","0","0","0","0"
"465","2023-10-27 16:12:23","0","0","0","0"
"466","2023-10-27 16:18:10","0","0","0","0"
"467","2023-10-27 16:25:36","0","0","0","0"
"468","2023-10-27 16:30:36","0","0","0","0"
