"ID","TIME","PEAK_PEAK_PFS","PEAK_PEAK_KNM","MAIN_FREQ","SECOND_FREQ","TORQUE_HIGH","TORQUE_LOW","RPM_HIGH","RPM_LOW"
"150","2023-10-26 13:22:48","0","0","0","0","0","0","0","0"
"151","2023-10-26 13:27:48","0","0","0","0","0","0","0","0"
"152","2023-10-26 13:32:48","0","0","0","0","0","0","0","0"
"153","2023-10-26 13:37:48","0","0","0","0","0","0","0","0"
"154","2023-10-26 13:42:48","0","0","0","0","0","0","0","0"
"155","2023-10-26 13:47:48","0","0","0","0","0","0","0","0"
"156","2023-10-26 13:52:48","0","0","0","0","0","0","0","0"
"157","2023-10-26 13:57:48","0","0","0","0","0","0","0","0"
"158","2023-10-26 14:02:48","0","0","0","0","0","0","0","0"
"159","2023-10-26 14:07:48","0","0","0","0","0","0","0","0"
"160","2023-10-26 14:12:48","0","0","0","0","0","0","0","0"
"161","2023-10-26 14:17:48","0","0","0","0","0","0","0","0"
"162","2023-10-26 14:22:48","0","0","0","0","0","0","0","0"
"163","2023-10-26 14:27:48","0","0","0","0","0","0","0","0"
"164","2023-10-26 14:32:48","0","0","0","0","0","0","0","0"
"165","2023-10-26 14:37:48","0","0","0","0","0","0","0","0"
"166","2023-10-26 14:42:48","0","0","0","0","0","0","0","0"
"167","2023-10-26 14:47:48","0","0","0","0","0","0","0","0"
"168","2023-10-26 14:52:48","0","0","0","0","0","0","0","0"
"169","2023-10-26 14:57:48","0","0","0","0","0","0","0","0"
"170","2023-10-26 15:02:48","0","0","0","0","0","0","0","0"
"171","2023-10-26 15:07:48","0","0","0","0","0","0","0","0"
"172","2023-10-26 15:12:48","0","0","0","0","0","0","0","0"
"173","2023-10-26 15:17:48","0","0","0","0","0","0","0","0"
"174","2023-10-26 15:22:48","0","0","0","0","0","0","0","0"
"175","2023-10-26 15:27:48","0","0","0","0","0","0","0","0"
"176","2023-10-26 15:32:48","0","0","0","0","0","0","0","0"
"177","2023-10-26 15:37:48","0","0","0","0","0","0","0","0"
"178","2023-10-26 15:42:48","0","0","0","0","0","0","0","0"
"179","2023-10-26 15:47:48","0","0","0","0","0","0","0","0"
"180","2023-10-26 15:52:48","0","0","0","0","0","0","0","0"
"181","2023-10-26 15:57:48","0","0","0","0","0","0","0","0"
"182","2023-10-26 16:02:48","0","0","0","0","0","0","0","0"
"183","2023-10-26 16:07:48","0","0","0","0","0","0","0","0"
"184","2023-10-26 16:12:48","0","0","0","0","0","0","0","0"
"185","2023-10-26 16:17:48","0","0","0","0","0","0","0","0"
"186","2023-10-26 16:22:48","0","0","0","0","0","0","0","0"
"187","2023-10-26 16:27:48","0","0","0","0","0","0","0","0"
"188","2023-10-26 16:32:48","0","0","0","0","0","0","0","0"
"189","2023-10-26 16:37:48","0","0","0","0","0","0","0","0"
"190","2023-10-26 16:42:48","0","0","0","0","0","0","0","0"
"191","2023-10-26 16:47:48","0","0","0","0","0","0","0","0"
"192","2023-10-26 16:52:48","0","0","0","0","0","0","0","0"
"193","2023-10-26 16:57:48","0","0","0","0","0","0","0","0"
"194","2023-10-26 17:02:48","0","0","0","0","0","0","0","0"
"195","2023-10-26 17:07:48","0","0","0","0","0","0","0","0"
"196","2023-10-26 17:12:48","0","0","0","0","0","0","0","0"
"197","2023-10-26 17:17:48","0","0","0","0","0","0","0","0"
"198","2023-10-26 17:22:48","0","0","0","0","0","0","0","0"
"199","2023-10-26 17:27:48","0","0","0","0","0","0","0","0"
"200","2023-10-26 17:32:48","0","0","0","0","0","0","0","0"
"201","2023-10-26 17:37:48","0","0","0","0","0","0","0","0"
"202","2023-10-26 17:42:48","0","0","0","0","0","0","0","0"
"203","2023-10-26 17:47:48","0","0","0","0","0","0","0","0"
"204","2023-10-26 17:52:48","0","0","0","0","0","0","0","0"
